Genes,EC-Log2fC,PC-Log2fC,AC-Log2fC,MC-Log2fC,M_Log2FC,S_Log2FC,GB_log2FC,Contra-Endo-1,Contra-Endo-2,Contra-Endo-3,Contra-Endo-4,Contra-Endo-5,Ipsi-Endo-1,Ipsi-Endo-2,Ipsi-Endo-3,Ipsi-Endo-4,Ipsi-Endo-5,Contra-Peri-1,Contra-Peri-2,Contra-Peri-3,Contra-Peri-4,Contra-Peri-5,Contra-Peri-6,Ipsi-Peri-1,Ipsi-Peri-2,Ipsi-Peri-3,Ipsi-Peri-4,Ipsi-Peri-5,Ipsi-Peri-6,Contra-Astro-1,Contra-Astro-2,Contra-Astro-3,Contra-Astro-4,Contra-Astro-5,Contra-Astro-6,Ipsi-Astro-1,Ipsi-Astro-2,Ipsi-Astro-3,Ipsi-Astro-4,Ipsi-Astro-5,Ipsi-Astro-6,Contra-MG-1,Contra-MG-2,Contra-MG-3,Contra-MG-4,Contra-MG-5,Contra-MG-6,Ipsi-MG-1,Ipsi-MG-2,Ipsi-MG-3,Ipsi-MG-4,Ipsi-MG-5,Ipsi-MG-6,MSG_Regulated,Control-EC-exp,EC-EXP,EC-Regulated,Control-PC-exp,PC-EXP,PC-Regulated,Control-AC-exp,AC-EXP,AC-Regulated,Control-MC-exp,MC-EXP,MC-Regulated,GeneID
Tfe3,#N/A,1.414198924,#N/A,-1.732736877,0.909428376,0.34869781,0.618059188,876.2987638,349.5899914,439.0059738,277.1364498,399.3438128,274.1985402,899.4847929,995.3934302,856.431655,745.4462409,180.5981834,494.0706966,839.3034918,759.0191674,500.1230552,465.3009494,1607.724623,626.2176325,1069.539768,1705.340822,2103.812429,1517.418225,879.405986,576.3099032,847.5183227,282.4181245,560.7705259,696.6695849,695.4178594,729.9819249,964.5611653,576.0490189,695.9339914,649.7245528,2366.996445,2565.557999,2478.465761,2203.860651,3319.032777,3012.046923,707.4081005,903.8426103,1282.680747,614.5245641,802.8313347,488.8808463,1,1,1,0,1,1,1,1,1,0,1,1,1,ENSMUSG00000000134
Axin2,#N/A,-5.328404953,#N/A,#N/A,-2.279812408,-1.158731589,-0.916939821,123.0225046,353.1940119,65.40293079,38.34592387,163.6996831,68.54963504,48.68345528,24.30909405,106.5738943,106.638802,12.03987889,46.16726181,25.32757675,4.010669313,56.25105938,34.53405484,0,0,0,0,0.747092482,3.15307683,27.67673661,19.98154774,45.78430314,48.54061515,56.82760588,58.92601414,42.45283444,20.47635133,18.74956909,21.55872077,41.39384335,36.62083843,0,7.603262488,12.48597361,0.973436683,0,4.056082579,7.502813187,20.37976573,0,15.40843302,22.86544941,35.85799596,1,1,1,0,0,0,1,1,1,0,0,0,0,ENSMUSG00000000142
Slfn4,#N/A,5.341981948,#N/A,#N/A,12.92505927,4.04731456,5.766341558,0,0,0,0,0,0.729251437,0,5.117704011,0,0,0,0,0,0,0,0,1.300222097,0,29.01852084,0,0.747092482,12.61230732,0,2.103320815,0,0,0,0,0,36.85743239,40.62406636,0,0,0,0,0,0,0,0,0,1.071830455,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,ENSMUSG00000000204
Mid2,#N/A,-6.446474108,#N/A,6.259995155,-0.539852094,-0.60887088,-0.899934802,237.5280667,62.46968919,104.8238754,11.32947751,127.2061231,2.18775431,54.86548135,42.22105809,158.4206537,103.5626827,134.8466436,95.57433147,226.2014614,56.14937038,98.18366729,135.4098466,0,0,0,0,0,7.882692075,108.0285526,186.1438921,91.56860629,131.2803001,171.5550366,405.0231098,159.70352,123.8819255,107.2892009,77.61139476,100.8974932,204.3679048,2.077223734,0,0,0.973436683,10.38640299,0,106.1112151,61.1392972,174.6419171,99.70162544,205.7890446,343.9337359,1,1,0,0,1,0,1,1,1,0,0,1,1,ENSMUSG00000000266
Dgke,#N/A,#N/A,#N/A,#N/A,-1.412137811,-0.639762014,-0.549189005,129.6467934,264.2948389,361.0600152,178.6571453,338.8687707,328.8923979,198.5975874,88.28039419,164.1814047,262.4955126,46.95552767,96.38428343,162.4458371,194.5174617,107.3883861,139.0450103,33.15566348,6.376961635,91.20106551,41.3876673,85.16854294,115.0873043,101.7789669,201.9187982,181.1023547,143.4154538,115.7996497,136.4995011,211.2533904,100.3341215,190.6206191,269.0528352,164.7130017,164.2031143,59.20087642,41.2748535,86.36131744,71.06087788,54.2401045,47.86177443,87.89009733,130.4305007,58.21397238,64.35286733,68.59634822,162.6235873,1,1,1,0,1,0,0,1,1,0,1,1,0,ENSMUSG00000000276
Itgb2,#N/A,6.852974416,#N/A,#N/A,1.975654295,2.220023198,3.333826144,299.9856459,185.0063872,396.8972375,11.32947751,19.81078967,708.103145,746.4796477,2383.570643,415.7342002,26.6597005,0,310.2116013,73.36263612,4.010669313,0,9.996700084,8147.191661,3801.944527,7880.601161,7971.771509,9346.874042,8861.722431,127.6701076,572.1032616,39.67972939,144.5186496,23.58881753,23.12286631,254.7170066,1144.628039,1348.927332,296.6479977,28.45826731,20.08239527,7882.025459,8585.169529,7380.250899,8376.42266,7435.510495,7880.157234,399.7927598,874.29195,3302.409586,3527.624784,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,ENSMUSG00000000290
Mcts1,#N/A,#N/A,#N/A,#N/A,-0.320095253,0.563306965,0.990202233,429.6324393,1011.528429,529.4949602,528.9994498,500.4831074,538.1875602,645.2489708,548.8737552,634.6427399,470.6462511,337.1166089,366.0982866,279.476709,160.4267725,316.0286791,304.4449571,1008.322236,3772.610503,899.5741462,1019.488049,979.4382439,774.0803618,179.452389,375.4427654,436.4770233,525.1212002,295.9324382,191.6960207,289.0835869,248.7876686,415.6154481,439.7979036,355.2971554,361.4831149,920.2101142,728.8270185,925.0025446,580.1682632,510.0877912,696.0237705,543.4180408,188.512833,628.5135662,638.9967812,289.6290258,478.2749601,1,1,1,0,1,1,0,1,1,0,1,1,0,ENSMUSG00000000355
Tbrg4,#N/A,1.616168426,#N/A,-1.236463334,1.009130511,0.781734764,1.43978701,124.9151586,1.201340177,88.69712532,123.7527543,63.60306157,72.92514366,195.5065744,138.1780083,172.8225313,75.87760911,44.5475519,59.1264932,135.3715309,89.23739221,123.7523306,84.51755525,306.8524149,61.21883169,207.2751489,356.4407265,378.0287959,333.4378748,175.8811972,160.9040423,130.2309067,73.91411852,93.28305116,73.09809349,114.2183403,87.02449315,256.2441109,172.4697661,135.3923626,127.5822758,260.6915786,159.6685122,180.0061195,269.6419613,402.761627,352.0679678,97.53657143,176.2849736,90.77432981,148.6460597,104.1648251,73.2311185,1,0,1,0,1,1,1,1,1,0,1,1,1,ENSMUSG00000000384
Lck,#N/A,#N/A,#N/A,#N/A,4.184390912,1.461499401,4.624621189,4.731634794,4.805360707,15.2308195,0,4.170692562,1.458502873,0,24.30909405,3.840500695,3.076119288,1.203987889,52.6468775,0,41.10936046,19.43218415,9.087909167,6.501110486,24.23245421,43.52778127,10.98040153,11.20638723,9.459230491,34.81912026,7.361622852,3.052286876,18.75432858,8.577751831,0,1.010781772,83.95304045,41.66570908,37.08099972,2.58711521,42.52742528,8.308894936,1.086180355,2.080995601,28.22966382,6.924268659,19.46919638,0,15.2848243,0,0,19.05454117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSMUSG00000000409
Itga5,#N/A,1.508658264,2.664241046,1.467511527,1.509301874,1.510769298,1.20704226,692.7113338,88.89917308,1225.633004,1851.933823,1069.782642,219.5046824,3514.481819,3314.992773,2794.924381,3537.537181,1518.228728,822.911193,1737.995784,1980.267973,496.0320691,876.0744437,3517.750884,442.5611375,4528.962003,4588.118546,3589.779376,4478.157368,23.21274684,138.8191738,109.8823275,49.64381095,155.4717519,317.0070381,358.8275292,751.4820938,952.0614526,406.1662992,902.0408364,1668.020125,766.4955579,765.7571505,896.909104,1073.700662,1457.558553,1914.470977,3276.585702,5124.492094,3963.483509,4143.055726,927.3210037,1578.761906,1,1,1,0,1,1,1,1,1,1,1,1,1,ENSMUSG00000000555
Wdr77,#N/A,1.171787262,#N/A,#N/A,0.497973334,0.700961643,0.731630569,128.7004664,60.06700883,218.6070563,359.0572872,188.7238384,309.2026091,330.7383946,537.3589212,309.160306,271.7238705,239.5935899,247.8453002,200.8738846,133.3547547,239.322689,277.1812296,559.7456128,413.2271139,433.2050612,402.8962714,587.2146908,614.8499819,308.0152946,343.8929532,372.3789989,311.1012153,292.7157812,441.5721566,419.4744355,342.9788848,539.5709326,527.7574844,412.2136901,378.021558,348.9735873,323.6817459,544.1803497,434.1527607,334.6729852,454.2812488,463.0307567,278.1838023,648.2471162,250.160442,295.9805395,384.8421538,1,1,1,0,1,1,1,1,1,0,1,1,0,ENSMUSG00000000561
Cd52,#N/A,6.957968679,#N/A,#N/A,2.130610247,2.17090069,4.675852285,112.6129081,258.288138,100.3442226,136.8252284,2.085346281,563.7113605,703.9782185,1819.343776,163.2212795,8.202984769,0,140.1216894,31.44112976,1.002667328,4.090986137,0,3452.739779,7654.904746,3813.86274,2373.456022,2478.852855,2244.202434,103.5645628,188.2472129,10.17428959,18.75432858,3.216656936,19.39337174,63.67925166,632.7192561,906.2291726,204.3766729,8.623717365,27.17029948,2632.881083,2040.932888,1448.372938,1516.614353,1329.459583,2070.224548,126.4759937,556.3676046,1990.128513,1209.108803,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,ENSMUSG00000000682
Polr3d,#N/A,1.086821822,#N/A,#N/A,1.648559777,0.859345352,0.735576741,174.1241604,291.9256629,310.8879039,157.7411868,110.5233529,424.4243361,227.9622112,536.0794952,573.1947288,287.1044669,109.5628979,166.0401521,151.0920958,187.4987904,182.0488831,149.0417103,266.5455299,387.7192674,431.1323097,323.4995219,334.6974319,274.3176842,334.7992332,224.0036668,331.6818406,451.2070817,256.2603359,251.3679337,603.4367181,452.5273644,526.0295772,432.0367642,319.9399143,398.1039533,313.6607838,213.97753,245.5574809,197.6076467,303.5137762,190.6358812,111.4703674,432.0510336,51.30722989,332.6408776,158.7878431,108.0790301,1,1,1,0,1,1,1,1,1,0,1,1,0,ENSMUSG00000000776
Tcf7,#N/A,-6.044463507,#N/A,3.509502823,-2.554024744,-0.49508036,-0.602002966,662.4288712,585.0526661,317.1594178,567.3453736,367.0209455,648.3045272,449.7423964,143.2957123,323.5621836,285.0537207,240.7975778,72.89567654,247.1622145,156.4161032,49.09183364,57.25382775,1.950333146,0,0,0,3.73546241,5.517884453,3.571191821,19.98154774,14.24400542,23.16711177,12.86662775,51.46702501,28.30188963,23.54780403,28.12435363,14.65993012,32.77012599,23.62634738,43.62169842,5.430901777,4.161991202,4.867183416,3.46213433,4.056082579,62.16616641,94.76591067,152.9350122,69.79113781,119.408458,245.9555497,1,1,1,0,1,0,1,0,1,0,0,1,1,ENSMUSG00000000782
Usp32,#N/A,#N/A,#N/A,#N/A,-0.36801886,-0.464439757,-0.659085245,129.6467934,15.6174223,198.896584,195.2156124,202.2785893,16.04353161,98.91241708,172.7225104,217.9484144,196.8716344,71.03528546,62.36630104,16.5939296,10.02667328,173.8669108,103.6021645,74.11265954,193.8596337,140.9471012,124.1630019,85.16854294,89.07442045,258.0186091,273.4317059,351.0129908,355.2290472,263.7658688,205.1222011,453.8410158,255.9543916,315.6177463,402.7169039,249.2254319,255.1645517,77.89589003,74.94644452,183.1276129,192.7404633,110.7882985,150.8862719,152.1999247,203.7976573,17.76019496,180.3693042,240.0872188,181.3101486,1,1,1,0,1,1,0,1,1,0,1,1,0,ENSMUSG00000000804
Car4,#N/A,-4.405026167,#N/A,3.319125239,-1.239818366,-0.588799817,-1.214224425,13892.07976,12587.64237,9392.935978,9309.344518,16477.36364,11906.48821,4394.647781,3085.975519,5664.738525,7954.844479,686.2730968,477.0617054,213.1009906,227.6054835,5060.549851,3217.119845,109.2186562,16.58010025,66.32804764,163.8613766,7.47092482,102.474997,151.7756524,952.8043291,45.78430314,291.2436909,1372.440293,1702.14132,20.21563545,354.240878,95.83113089,319.0690673,647.6411741,661.5377265,141.2512139,286.7516138,38.49841862,86.63586481,196.187612,41.3720423,316.1899843,193.6077745,356.1905768,274.6326592,3311.679256,3435.802063,1,1,1,0,1,0,1,1,1,0,1,1,1,ENSMUSG00000000805
Dlg3,#N/A,-1.766342918,#N/A,1.691621947,0.562455743,-0.51095344,-0.701011359,1.892653918,0,50.17211129,0,6.256038843,0,95.82140405,42.22105809,106.5738943,5.12686548,280.5291782,191.9586149,526.6389236,807.1471992,407.0531206,506.1965406,161.22754,10.20313862,107.7830774,59.12523899,185.2789355,274.3176842,314.2648803,274.4833663,248.2526659,178.7177194,301.293533,205.1222011,290.0943687,229.3351349,273.9520372,132.8017199,301.8301078,227.9942522,186.9501361,178.1335783,143.5886965,169.3779829,229.6549105,139.5292407,1188.659975,345.4370292,334.4836718,398.8065018,707.5586288,408.0740948,1,0,0,0,1,1,1,1,1,0,1,1,1,ENSMUSG00000000881
Mmp14,2.182978747,#N/A,#N/A,1.002507705,1.071286412,0.64106355,2.121615462,105.9886194,85.29515255,241.0053203,90.63582006,98.01127521,402.546793,554.0640863,1083.673824,457.0195827,326.0686446,621.2577508,684.4094075,1163.321801,1263.360834,1815.375098,1577.661031,1251.463769,332.8773973,1283.033172,1301.599904,1536.022143,1321.927461,4455.061797,2338.892746,2261.744575,1901.909557,3047.246338,2652.416535,2923.180886,2371.161484,1666.628363,996.0128994,3282.186829,2548.101565,812.19448,889.5817111,662.7970989,1066.886605,693.5809107,1044.846872,972.150223,1997.217042,1946.714703,1754.748608,1672.988715,2014.613322,1,1,1,1,1,1,0,1,0,0,1,1,1,ENSMUSG00000000957
Ilf2,#N/A,#N/A,#N/A,#N/A,0.519230801,0.541956957,0.576160549,934.9710353,729.2134873,964.0212812,651.8807058,906.0829591,1411.830781,774.298765,1134.850864,897.7170375,998.7133956,1210.007829,1335.610785,1324.020909,1080.87538,889.7894848,921.5139895,738.5261512,586.6804704,1117.213053,839.5783937,1039.205642,889.1676661,1478.473414,1190.479581,1177.165305,1343.692483,1131.191023,983.0947675,1097.709005,1688.275167,1470.799531,1892.855683,1139.193064,1215.575573,925.4031735,1005.803009,854.2486942,798.2180803,979.7840153,857.4558571,851.0333815,1417.412707,1503.696507,1148.381449,1166.13792,943.9238654,1,1,1,0,1,1,0,1,1,0,1,1,0,ENSMUSG00000001016
S100a6,#N/A,-2.272487018,#N/A,5.407272016,0.730117042,1.034144437,1.460139092,423.0081506,2238.096749,781.2514472,1064.970886,260.6682851,1085.855389,836.1190257,1418.883437,1028.294061,271.7238705,884.9310985,1479.782234,1331.007827,1225.259475,400.9166414,443.4899674,167.0785395,473.1705533,215.5661548,169.7739005,62.75576848,107.2046122,516.9300161,512.1586184,278.7755347,495.3349137,858.847402,5791.905061,516.5094857,1230.628715,1515.590168,853.7253423,2346.513495,3553.402645,96.59090364,59.73991955,20.80995601,63.27338441,24.23494031,51.91785701,1854.266688,2025.748714,4469.649066,2841.496325,804.1016374,1447.450935,1,1,1,0,1,1,1,1,0,0,1,1,1,ENSMUSG00000001025
Icam2,#N/A,#N/A,#N/A,#N/A,-0.523855581,0.732961021,-0.584729663,5239.812371,14714.01448,6626.302413,7468.740172,4902.649107,9401.509521,5903.834895,6667.0889,6592.219443,5426.274424,355.1764273,254.3249159,0,27.07201786,150.3437405,139.9538012,47.45810655,65.04500867,153.3836102,232.2777246,31.37788424,38.62519117,52.67507936,60.99630363,7.122002711,105.9067967,50.394292,111.884837,31.33423494,203.7396957,42.70735181,206.1013705,37.94435641,116.9504195,180.7184649,107.5318552,36.41742302,47.69839748,57.70223883,26.77014502,111.4703674,12.22785944,265.4162469,235.6583874,92.73210037,342.9236515,1,1,1,0,0,1,0,0,1,0,1,1,0,ENSMUSG00000001029
Lgals9,#N/A,4.175121523,#N/A,-2.416258643,2.95267623,0.557451588,0.736809426,5695.941965,6928.128799,5076.342546,5741.430601,5779.537218,7311.474904,4656.611136,4861.818811,6005.582962,5216.07294,138.4586072,309.4016493,530.1323824,199.5307983,277.1643108,292.6306752,5337.411709,7329.679703,3774.480461,5828.903918,5261.77235,4058.00988,242.8410438,554.2250347,109.8823275,259.2510127,198.3605111,534.0636218,135.4447575,591.7665534,813.5229699,288.8868583,233.7027406,304.7798812,8370.173037,7845.480707,6513.516231,5940.884078,7303.94939,6665.76611,742.7785055,1279.849288,2754.803574,1748.403959,636.4216751,825.7439914,1,1,1,0,1,1,1,1,1,0,1,1,1,ENSMUSG00000001123
Timp1,#N/A,-5.01560241,2.849493124,10.35181449,3.71331771,3.411594447,3.909089554,81.38411846,646.3210151,241.9012509,259.7064844,36.49355992,1004.179228,1157.584381,1686.283472,1393.141627,231.7343197,514.1028286,4926.12783,5511.804721,1204.203461,1727.418896,1526.76874,39.65677396,197.6858107,24.87301787,71.79493306,35.11334665,107.2046122,75.8878262,57.84132241,35.61001356,62.88216053,52.53872996,278.9661935,803.571509,769.91081,454.156229,303.5467884,803.7304584,940.3286256,6.231671202,21.72360711,5.202489002,12.65467688,4.616179106,0,5000.089074,11270.01045,20130.19431,19094.67403,4089.104535,5915.559248,1,1,1,0,1,1,1,1,1,1,0,1,1,ENSMUSG00000001131
Ramp2,#N/A,-1.772376493,#N/A,1.880838811,-2.733237164,0.372974946,-1.092112864,17329.13927,34576.97297,14630.54602,20088.90662,13138.72424,15848.82147,10329.39281,8817.804011,12707.25668,7223.753462,668.2132785,396.0665092,450.6561933,189.504125,544.1011562,426.2229399,143.0244307,276.7601349,136.8015983,173.9971319,26.14823687,27.58942226,1880.232494,1332.453736,867.8669018,1505.862265,1139.768774,1065.143648,868.2615425,877.4116544,522.904649,601.057135,1016.736277,653.268505,286.6568753,248.7353014,76.99683724,44.77808743,163.8743583,44.61690836,371.925168,415.747221,559.4461413,718.7580816,280.7369066,837.8650041,1,1,1,0,1,1,1,1,1,0,1,1,1,ENSMUSG00000001240
Lsr,#N/A,-2.556561466,#N/A,2.584663906,-1.018924122,-0.285293744,-0.671705211,6694.316907,1838.05047,7941.528473,7945.449726,6826.381051,6207.388229,4937.893322,4488.226418,4955.206022,6935.623622,132.4386678,483.5413211,347.5991568,76.20271694,169.7759247,428.9493127,39.00666291,21.68166956,58.03704169,111.4933078,15.68894212,33.10730672,33.03352435,167.2140048,11.19171855,101.4940135,76.1275475,199.1550098,14.15094481,97.26266881,5.208213635,103.4818597,82.78768671,196.0986832,137.0967665,77.11880523,16.64796481,56.45932763,106.1721194,29.20379457,300.1125275,327.09524,477.551909,680.6901882,237.5466133,508.0724497,1,1,1,0,1,1,1,1,0,0,1,1,1,ENSMUSG00000001247
Snd1,#N/A,0.912207534,#N/A,#N/A,0.666662847,0.761719518,0.773176422,1063.671502,337.5765897,1357.334797,698.0701141,1359.645775,748.211974,1904.836782,2366.938105,1648.534923,2030.23873,1059.509342,1245.706117,996.5091406,563.4990384,1230.364081,1443.159976,2055.001025,928.485614,1871.694594,2162.294455,2666.373068,2619.418577,1446.332688,913.892894,936.0346421,963.0899324,1429.267899,1375.437596,855.1213794,1578.726687,1511.423597,1229.709433,1456.545863,1279.36671,1728.250147,2046.36379,1720.983362,2333.32773,2290.778881,2014.250609,1420.175353,2143.951355,2139.116816,1771.969798,1136.920957,1704.012371,1,1,1,0,1,1,1,1,1,0,1,1,0,ENSMUSG00000001424
Tubb6,3.088925379,1.347033566,2.917910383,1.508455752,4.410593183,2.892379206,2.72081222,370.9601678,619.8915312,762.4369055,568.2168719,303.4178839,3954.730541,3824.355876,5162.483921,5339.256091,4056.375968,467.147301,976.8020657,674.2375605,529.4083493,356.9385404,352.6108757,1161.748444,1522.818438,1334.851959,1416.471797,1661.53368,1446.473996,62.49585687,97.80441789,112.9346144,46.33422355,48.24985405,204.3763022,317.3854765,1012.555573,927.0620271,523.4457402,683.8607871,870.6309008,587.8543168,496.3844224,421.4016092,548.0448527,808.9853883,1151.116236,1575.590769,2028.805679,2358.15922,2082.857593,1276.654258,2099.460411,1,1,1,1,1,1,1,1,1,1,1,1,1,ENSMUSG00000001473
Fkbp10,#N/A,-5.070629403,#N/A,6.031567762,-0.611238801,1.026232036,1.302147562,321.751166,56.4629883,717.6403776,1132.947751,417.0692562,578.2963892,697.7961924,1302.455671,1146.389458,706.4820632,864.4633044,979.2319216,1411.357381,1567.169034,1177.181261,1294.118265,48.10821759,3.826176981,26.94576936,38.00908221,30.63079176,67.00288264,3260.498133,1151.568146,1402.017105,1552.196489,2705.208484,1728.993681,2209.568954,1458.940032,793.731758,911.502714,2836.340641,2162.992102,0,74.94644452,49.94389442,20.44217035,0,24.33649547,1549.866838,1981.932218,2091.756296,2557.799882,1406.225138,1510.58121,1,1,1,0,1,0,1,1,1,0,0,1,1,ENSMUSG00000001555
Ifrd1,#N/A,0.881945004,#N/A,-1.06351769,3.199068966,0.682117763,0.695926033,1922.93638,2014.647476,1398.547602,706.7850968,1131.300357,2417.468512,2114.252915,1966.477766,2111.315257,2018.959626,1308.734835,1556.72767,793.8885266,1268.37417,2047.538562,1958.444426,2076.454689,2339.069528,1374.234237,2629.383843,4067.918564,3972.088537,961.5433979,2390.424106,1723.524656,973.0186945,915.6750079,1367.978607,2790.768473,3053.023983,3020.763909,2406.815586,1751.476997,1940.904437,2576.796042,2687.210199,2212.098324,3556.937641,5287.833166,6322.621524,1603.458361,1351.178468,1028.117953,2016.691969,2314.491601,2519.655519,1,1,1,0,1,1,1,1,1,0,1,1,1,ENSMUSG00000001627
Eef1e1,#N/A,2.601050065,#N/A,#N/A,1.78531874,1.702229361,1.03145397,133.4321012,379.6234958,138.8692366,101.9652976,86.54187066,294.6175804,323.7836153,364.6364108,413.8139499,169.1865609,152.9064619,211.397462,256.7692264,198.528131,110.4566257,127.2307283,824.9909206,2337.794135,912.0106551,864.0731356,639.5111646,841.8715137,236.5914582,249.2435165,286.9149664,250.4254463,183.3494454,491.5473838,299.1914046,426.9319252,708.3170544,710.5754365,408.7642031,441.8126959,543.1940065,455.1095689,410.9966312,424.4183939,330.0568061,389.3839275,395.505438,258.8230248,278.2430544,412.4021779,261.6823654,364.1354237,1,1,1,0,1,1,1,1,1,0,1,1,0,ENSMUSG00000001707
Rin2,#N/A,1.869537036,#N/A,-2.83014631,0.367495383,-0.694995479,-0.73037739,1341.891628,600.6700883,1314.33013,868.0122767,1579.649808,784.6745458,727.1608162,994.1140042,831.4684005,1117.656675,626.0737023,864.218743,631.4426894,720.917809,731.263772,776.1074429,2810.430063,2309.735504,1859.258086,2814.361376,3230.427892,2865.358569,1740.956013,1895.092054,1704.193506,856.0799399,1435.701213,1073.348536,1588.948946,1481.464019,1233.304989,799.397366,1235.778698,1122.2515,5017.53393,5581.880846,4706.171552,5148.506618,5185.123181,5767.749427,748.1376578,928.2983292,688.7008936,1213.640695,445.8762634,392.4177867,1,1,1,0,1,1,1,1,1,0,1,1,1,ENSMUSG00000001768
Rtcb,#N/A,#N/A,#N/A,-0.594722879,0.338015255,0.267137607,0.530822793,1940.916592,1363.521101,1618.94652,1885.050758,1515.004073,2598.322869,1610.417791,2108.494053,1550.602156,1557.541733,2292.392941,2763.556093,1977.297716,2136.684076,1530.028815,1505.866549,2727.86596,2123.528224,2300.754153,2554.210325,2802.3439,2838.557416,1767.739951,1580.645592,1377.59881,1696.715139,1569.728585,1942.32077,1531.334385,1693.394255,2108.28488,1706.588336,1845.475516,1893.651742,3537.512019,3434.502284,2874.895423,2926.15067,3732.180807,2837.635372,2125.439793,2661.597405,2760.723639,2006.721807,1800.018989,1455.53161,1,1,1,0,1,1,0,1,1,0,1,1,1,ENSMUSG00000001783
Pwp1,#N/A,0.609614048,#N/A,#N/A,0.358766153,0.701509489,0.62734577,315.1268773,78.08711149,622.6717383,117.6522664,453.5628161,652.6800358,695.4779326,724.1551176,695.1306258,434.7581927,600.7899567,594.5047398,464.6300287,1072.854041,473.5316453,552.5448774,804.8374781,917.0070831,827.0278441,1229.804971,910.7057355,1043.668431,594.6034382,465.8855605,537.2024902,822.9840659,550.0483361,743.6612164,458.8949247,700.2912154,658.3182035,842.5148075,787.3453954,936.7846735,703.140234,615.8642615,960.3794698,602.557307,760.5155077,788.5024533,836.0277551,903.8426103,576.2196588,1169.228153,716.450748,668.170826,1,1,1,0,1,1,1,1,1,0,1,1,0,ENSMUSG00000001785
Uba1,#N/A,#N/A,#N/A,1.100108409,0.838942176,0.429779918,-0.432137509,3033.92423,1130.461106,3226.245942,3350.039349,3895.426853,2186.295807,4316.599702,5204.704979,3891.387329,4410.129686,3230.299506,3814.873739,3413.982674,6550.425655,4788.499273,4016.855852,3079.576037,1419.51166,3241.783329,3740.093689,2830.733414,3090.015294,3781.892139,3461.014401,2537.467823,3184.926271,3546.900382,3328.20095,2566.37492,4438.249151,3984.283431,3478.715183,4116.100298,3984.583485,2627.688024,2816.465662,1711.618882,2254.479358,2027.656672,2377.675608,4658.175159,5335.422669,5789.823558,4844.592618,4947.829191,4043.872868,1,1,1,0,1,1,0,1,1,0,1,1,1,ENSMUSG00000001924
Ssr4,#N/A,2.105094524,#N/A,-0.935874282,0.303995253,1.016424138,0.836114346,1505.606191,5701.560479,1502.475547,2435.837664,991.5821566,3606.148354,2714.682197,3401.993741,3192.416203,1120.732794,928.2746625,1513.800216,1298.693332,1084.886049,720.0135601,707.0393332,3933.821955,9839.651802,3463.567738,3839.761949,3051.872789,2776.284149,1343.660923,1406.069965,1046.934399,1117.537344,746.2644093,971.1603849,1089.622751,1662.679728,1804.125203,1452.195431,833.0510975,910.7956914,3605.021791,3561.585385,3606.365376,2814.205451,2709.697135,3193.759422,1266.903598,1909.584049,2545.627945,2207.937814,1050.54037,1207.555892,1,1,1,0,1,1,1,1,1,0,1,1,1,ENSMUSG00000002014
Fam98a,#N/A,#N/A,#N/A,#N/A,0.536711585,0.416385455,0.712164471,302.8246268,56.4629883,241.0053203,124.6242526,272.1376897,169.9155847,421.1505259,301.9445367,185.3041585,248.1402893,157.7224135,241.3656846,286.4636267,219.5841449,265.9140989,255.3702476,317.2541917,135.1915867,422.8413037,347.1496175,386.9939057,318.4607598,277.6601641,489.0220894,303.1938297,173.2017404,265.9103067,217.0565837,317.3854765,424.8842901,693.7340562,514.8222519,381.1683075,360.3017975,306.3905008,343.2329923,414.1181246,255.040411,327.7487165,382.0829789,465.1744176,326.0762518,414.4045491,470.4103964,260.4120627,407.5690526,1,1,1,0,1,1,0,1,1,0,1,1,0,ENSMUSG00000002017
Spi1,#N/A,5.651781935,#N/A,-3.253445165,1.699303879,1.357357008,2.586984114,227.1184701,295.5296835,214.1274035,155.9981903,4.170692562,513.3930114,826.8459866,1658.1361,291.8780528,17.43134263,127.6227162,384.7271818,103.9304012,0,3.068239603,0,5408.273813,4855.418589,5702.139346,5430.230878,5478.42917,4273.995643,347.2984046,616.2729987,71.22002711,145.6218454,10.72218979,44.00803588,115.229122,757.6249992,1030.184657,276.8139746,18.10980647,30.71425159,6821.602743,7624.986095,5635.336087,5936.016895,7513.98554,6810.973866,124.3323328,677.6272107,2170.690495,1256.240481,0,1.51512659,1,0,1,0,0,1,1,1,1,0,1,0,1,ENSMUSG00000002111
Napsa,#N/A,#N/A,#N/A,#N/A,1.787720485,1.03320656,2.769010593,264.0252215,295.5296835,98.55236146,417.4476712,28.15217479,137.0992701,247.2810427,374.8718188,348.5254381,19.48208883,0,118.2529864,0,0,0,0,47.45810655,107.1329555,140.9471012,54.05736137,81.43308053,34.68384513,6.249585687,26.29151018,0,3.309587396,2.144437958,0.745898913,5.053908862,46.07179049,80.20648999,62.95146464,11.21083257,7.087904213,84.12756123,7.603262488,0,13.62811357,5.770223883,0,34.29857457,60.12030892,180.5619821,274.6326592,11.4327247,15.1512659,1,1,1,0,0,1,0,0,0,0,0,1,0,ENSMUSG00000002204
